,Date,Symbol,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
57809,2016-06-23,AAPL,95.94,96.29,95.25,96.1,32240187.0,0.0,1.0,93.760971184333,94.103021840103,93.086642748674,93.917337198399,32240187.0
58296,2016-06-24,AAPL,92.91,94.655,92.65,93.4,75311356.0,0.0,1.0,90.799789792958,92.50515663386601,90.545695020101,91.278660711035,75311356.0
58783,2016-06-27,AAPL,93.0,93.05,91.5,92.04,46622188.0,0.0,1.0,90.88774567587,90.936610055266,89.42181429400101,89.949549591474,46622188.0
59270,2016-06-28,AAPL,92.9,93.66,92.14,93.59,40444914.0,0.0,1.0,90.79001691707899,91.532755483893,90.047278350266,91.46434535273899,40444914.0
59757,2016-06-29,AAPL,93.97,94.55,93.63,94.4,36531006.0,0.0,1.0,91.835714636146,92.40254143713499,91.503436856255,92.255948298948,36531006.0
60244,2016-06-30,AAPL,94.44,95.77,94.3,95.6,35836356.0,0.0,1.0,92.295039802464,93.59483229438801,92.15821954015699,93.428693404443,35836356.0
60731,2016-07-01,AAPL,95.49,96.465,95.33,95.89,26026540.0,0.0,1.0,93.32119176977301,94.274047167987,93.164825755707,93.71210680493799,26026540.0
61218,2016-07-05,AAPL,95.39,95.4,94.46,94.99,27705210.0,0.0,1.0,93.223463010981,93.233235886861,92.314585554223,92.832547975816,27705210.0
61706,2016-07-06,AAPL,94.6,95.66,94.37,95.53,30949090.0,0.0,1.0,92.45140581653,93.487330659718,92.226629671311,93.360283273289,30949090.0
62194,2016-07-07,AAPL,95.7,96.5,95.62,95.94,25139558.0,0.0,1.0,93.526422163234,94.30825223356399,93.448239156201,93.760971184333,25139558.0
62682,2016-07-08,AAPL,96.49,96.89,96.05,96.68,28912103.0,0.0,1.0,94.298479357685,94.68939439285,93.868472819004,94.484163999389,28912103.0
63170,2016-07-11,AAPL,96.75,97.65,96.73,96.98,23794945.0,0.0,1.0,94.55257413054301,95.432132959664,94.53302837878401,94.777350275762,23794945.0
63658,2016-07-12,AAPL,97.17,97.7,97.12,97.42,24167463.0,0.0,1.0,94.96303491746599,95.48099733905899,94.91417053807,95.20735681444401,24167463.0
64146,2016-07-13,AAPL,97.41,97.67,96.84,96.87,25892171.0,0.0,1.0,95.197583938565,95.451678711422,94.640530013455,94.66984864109199,25892171.0
64634,2016-07-14,AAPL,97.39,98.99,97.32,98.79,38918997.0,0.0,1.0,95.178038186807,96.741698327467,95.109628055653,96.546240809884,38918997.0
65122,2016-07-15,AAPL,98.92,99.3,98.5,98.78,30136990.0,0.0,1.0,96.673288196313,97.04465747972,96.26282740938998,96.53646793400499,30136990.0
65610,2016-07-18,AAPL,98.7,100.13,98.6,99.83,36493867.0,0.0,1.0,96.45828492697201,97.855806177687,96.360556168181,97.562619901313,36493867.0
66098,2016-07-19,AAPL,99.56,100.0,99.34,99.87,23779924.0,0.0,1.0,97.298752252577,97.72875879125799,97.083748983236,97.60171140483,23779924.0
66586,2016-07-20,AAPL,100.0,100.46,99.735,99.96,26275968.0,0.0,1.0,97.72875879125799,98.178311081698,97.469777580462,97.689667287742,26275968.0
67074,2016-07-21,AAPL,99.83,101.0,99.13,99.43,32702028.0,0.0,1.0,97.562619901313,98.70604637917101,96.878518589774,97.17170486614799,32702028.0
67562,2016-07-22,AAPL,99.26,99.3,98.31,98.66,28313669.0,0.0,1.0,97.005565976203,97.04465747972,96.077142767686,96.41919342345601,28313669.0
68050,2016-07-25,AAPL,98.25,98.84,96.92,97.34,40382921.0,0.0,1.0,96.018505512411,96.59510518928002,94.718713020488,95.12917380741101,40382921.0
68538,2016-07-26,AAPL,96.82,97.97,96.42,96.67,56239822.0,0.0,1.0,94.620984261696,95.744864987796,94.23006922653099,94.47439112351,56239822.0
69026,2016-07-27,AAPL,104.265,104.35,102.75,102.95,92344820.0,0.0,1.0,101.89689035371,101.97995979868,100.41629965802,100.61175717559999,92344820.0
69514,2016-07-28,AAPL,102.83,104.45,102.82,104.34,39869839.0,0.0,1.0,100.49448266504999,102.07768855747,100.48470978917,101.97018692280001,39869839.0
70002,2016-07-29,AAPL,104.19,104.55,103.68,104.21,27733688.0,0.0,1.0,101.82359378461001,102.17541731626,101.32517711478,101.84313953636999,27733688.0
70490,2016-08-01,AAPL,104.41,106.15,104.41,106.05,38167871.0,0.0,1.0,102.03859705395,103.73907745692,102.03859705395,103.64134869813,38167871.0
70978,2016-08-02,AAPL,106.05,106.07,104.0,104.48,33816556.0,0.0,1.0,103.64134869813,103.66089444989001,101.63790914291,102.10700718510999,33816556.0
71466,2016-08-03,AAPL,104.81,105.84,104.77,105.79,30202641.0,0.0,1.0,102.42951208911998,103.43611830466999,102.3904205856,103.38725392527,30202641.0
71954,2016-08-04,AAPL,105.58,106.0,105.28,105.87,27408650.0,0.57,1.0,103.73755157009,104.15022226208,103.44278679010999,104.02249085741998,27408650.0
